Disclaimers
• This report includes the listings that were active at the time of report generation.

"Report for Feb 19, 2026 to Feb 19, 2026 compared to Feb 18, 2026 - Feb 18, 2026"
Listing title,eBay item ID,Item Start Date,Category,Current promoted listings status,Quantity available,Total impressions,Click-through rate = Page views from eBay site/Total impressions,Quantity sold,% Top 20 Search Impressions,Sales conversion rate = Quantity sold/Total page views,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Total Search Impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total Promoted Listings impressions (applies to eBay site only),Total Promoted Offsite impressions (applies to off-eBay only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),
Sam Darnold 2018 Score RC Rookie Card #349 NFL Jets,="358228910357",2026-02-17,Trading Card Singles,Promoted,2,44,0.0%,0,14.3%,-,0,100.0%,1,0.0%,6,7,29,-34.1%,8,-46.7%,29,0,15,0,0,0,0,0,
James Wood RC 2026 Topps 1990 Topps Rookie Insert Nationals,="358231567018",2026-02-18,Trading Card Singles,Promoted,2,10,0.0%,0,0.0%,-,0,-100.0%,0,-100.0%,0,0,4,-50.0%,6,0.0%,4,0,6,0,0,0,0,0,
2024 Panini Mosaic Brock Bowers RC #286 NFL Debut Mosaic Prizm Raiders,="358211358777",2026-02-11,Trading Card Singles,Promoted,1,7,0.0%,0,0.0%,-,0,100.0%,0,-,0,0,4,-92.9%,3,-91.2%,4,0,3,0,0,0,0,0,
2025 Panini Prizm Cam Ward RC #252 Rookie Tennessee Titans,="358211457201",2026-02-11,Trading Card Singles,Promoted,1,426,0.0%,0,50.0%,-,0,100.0%,3,-75.0%,3,6,377,-68.0%,43,-69.5%,377,0,49,0,0,0,0,0,
2025 Panini Score Geno Stone Orange Lava Foil /799 #148 Bengals,="358211474282",2026-02-11,Trading Card Singles,Promoted,1,39,0.0%,0,50.0%,-,0,100.0%,1,0.0%,1,2,17,-88.7%,20,-41.2%,17,0,22,0,0,0,0,0,
2024 Donruss Brock Bowers RC Red & Green #394 Raiders Rookie,="358214103502",2026-02-12,Trading Card Singles,Promoted,1,54,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,0,0,39,-62.9%,15,-60.5%,39,0,15,0,0,0,0,0,
2026 Topps Pete Crow-Armstrong TOG-13 Titans Of The Game Chicago Cubs,="358220149956",2026-02-14,Trading Card Singles,Promoted,1,63,0.0%,0,60.0%,-,0,100.0%,3,-57.1%,2,5,52,-71.9%,6,0.0%,52,0,11,0,0,0,0,0,
Peyton Manning 2000 Topps PSA 9 #100 Colts Football Card Graded,="358220635898",2026-02-15,Trading Card Singles,Promoted,1,211,0.5%,0,10.0%,0.0%,0,100.0%,1,-85.7%,9,10,180,-76.4%,21,-67.2%,180,0,31,1,0,0,1,0,
Michael Jordan 1992 Upper Deck #23 Chicago Bulls HOF NBA Vintage Base,="358220666132",2026-02-16,Trading Card Singles,Non-promoted,1,123,0.0%,0,31.6%,-,0,100.0%,6,-73.9%,13,19,0,100.0%,104,-83.3%,0,0,123,0,0,0,0,0,
Jaxon Smith-Njigba 2023 Panini Score Rookie RC #348 Seahawks JSN,="358220670654",2026-02-15,Trading Card Singles,Promoted,1,11,0.0%,0,0.0%,-,0,100.0%,0,-,0,0,11,-50.0%,0,-100.0%,11,0,0,0,0,0,0,0,
Shaquille O'Neal 2025-26 Topps Chrome NBA #242 X-Fractor Lakers,="358220706721",2026-02-15,Trading Card Singles,Promoted,1,16,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,3,3,10,-50.0%,3,-70.0%,10,0,6,0,0,0,0,0,
Brock Purdy 2025 Panini Rookies & Stars Red Parallel 49ers #21,="358220733598",2026-02-15,Trading Card Singles,Promoted,1,41,0.0%,0,66.7%,-,0,100.0%,2,-50.0%,1,3,27,-78.6%,11,-67.6%,27,0,14,0,0,0,0,0,
TreVeyon Henderson 2025 Panini Rookies & Stars RC Artistry In Motion #14 New Eng,="358222132698",2026-02-15,Trading Card Singles,Promoted,1,5,0.0%,0,0.0%,-,0,100.0%,0,-,1,1,4,-85.2%,0,-100.0%,4,0,1,0,0,0,0,0,
Charles McAdoo 2025 Bowman 1st Auto Purple Refractor /250 RC #BPA-CM Blue Jays,="358222155065",2026-02-15,Trading Card Singles,Promoted,1,352,0.0%,0,100.0%,-,0,100.0%,3,-83.3%,0,3,299,-75.0%,50,-44.4%,299,0,53,0,0,0,0,0,
Jac Caglianone RC 2026 Topps Stars Of MLB #SMLB-24 Kansas City Royals Rookie Ins,="358222661419",2026-02-15,Trading Card Singles,Promoted,1,45,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,1,1,29,-65.9%,15,25.0%,29,0,16,0,0,0,0,0,
Luisangel Acuna Rookie RC 2026 Topps #275 Mets Base Card,="358222696616",2026-02-15,Trading Card Singles,Promoted,1,36,0.0%,0,50.0%,-,0,100.0%,2,-85.7%,2,4,20,66.7%,12,300.0%,20,0,16,0,0,0,0,0,
Shohei Ohtani / Roki Sasaki Rookie RC 2025 Topps Dynamic Duos #DD-15,="358222726188",2026-02-15,Trading Card Singles,Promoted,1,87,2.3%,0,0.0%,0.0%,0,100.0%,0,-100.0%,1,1,54,5.9%,32,23.1%,54,0,33,2,0,0,2,0,
Jackson Jobe RC 2025 Bowman Chrome Mojo Refractor #50 Detroit Tigers Rookie,="358222761687",2026-02-15,Trading Card Singles,Promoted,1,34,0.0%,0,0.0%,-,0,100.0%,0,-,0,0,20,400.0%,14,250.0%,20,0,14,0,0,0,0,0,
Paul Skenes 2025 Bowman  #30 Chrome Mojo Refractor Mega Box Pirates,="358222789739",2026-02-15,Trading Card Singles,Promoted,1,56,1.8%,0,0.0%,0.0%,0,100.0%,0,-,0,0,37,-67.5%,19,-38.7%,37,0,19,1,0,0,1,0,
Colston Loveland 2025 Panini Revolution RC #206 Rookie NFL Chicago Bears,="358222880076",2026-02-16,Trading Card Singles,Promoted,1,9,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,0,0,7,-78.1%,2,-81.8%,7,0,2,0,0,0,0,0,
Matthew Golden 2025 Panini Revolution RC Futures #23 Green Bay Packers Rookie,="358222898673",2026-02-16,Trading Card Singles,Promoted,1,14,0.0%,0,50.0%,-,0,100.0%,1,-,1,2,8,-11.1%,4,-20.0%,8,0,6,0,0,0,0,0,
TreVeyon Henderson 2025 Panini Revolution RC Storm #244 Patriots Rookie Insert,="358222908327",2026-02-16,Trading Card Singles,Promoted,1,58,0.0%,0,0.0%,-,0,100.0%,0,-,0,0,53,-45.9%,5,-54.5%,53,0,5,0,0,0,0,0,
Bobby Witt Jr 2026 Topps BTP-16 Big Ticket Players Kansas City Royals Insert,="358222918543",2026-02-16,Trading Card Singles,Promoted,1,35,2.9%,0,66.7%,0.0%,0,100.0%,4,-80.0%,2,6,19,-45.7%,10,11.1%,19,0,16,1,0,0,1,0,
Saquon Barkley 2025 Panini Red Parallel #61 Philadelphia Eagles,="358224260030",2026-02-16,Trading Card Singles,Promoted,1,2,0.0%,0,0.0%,-,0,100.0%,0,-,0,0,1,-75.0%,1,-50.0%,1,0,1,0,0,0,0,0,
Derrick Harmon 2025 Panini Prizm RC White Disco Prizm #368 Steelers Rookie,="358224264176",2026-02-16,Trading Card Singles,Promoted,1,32,0.0%,0,66.7%,-,0,100.0%,2,-,1,3,22,-73.5%,7,-63.2%,22,0,10,0,0,0,0,0,
Caleb Williams Rookie RC 2024 Panini Draft Class DC-CWS Chicago Bears,="358224456255",2026-02-16,Trading Card Singles,Promoted,1,37,0.0%,0,0.0%,-,0,100.0%,0,-100.0%,0,0,25,-56.1%,12,-68.4%,25,0,12,0,0,0,0,0,
Jayden Daniels RC 2024 Panini Rookies & Stars Rookie Rising RR-JDS Commanders In,="358224459745",2026-02-16,Trading Card Singles,Promoted,1,41,0.0%,0,0.0%,-,0,100.0%,0,-,0,0,32,-28.9%,9,-25.0%,32,0,9,0,0,0,0,0,
JJ Wetherholt 2025 Bowman 1st Bowman #BP-22 St. Louis Cardinals Prospect,="358224637537",2026-02-16,Trading Card Singles,Promoted,1,91,2.2%,0,0.0%,0.0%,0,100.0%,0,-100.0%,2,2,62,-63.3%,27,-28.9%,62,0,29,2,0,0,2,0,
